entity,resource,gdp_geography_used,gdp_geography_level,gdp_reference_value,gdp_anchor_year,gdp_value_at_anchor_year,selected_resource_year,selection_mode,gdp_distance_ratio,gdp_comparability_status,target_estimation_method,interpolation_used,comparator_included_in_denominator,comparator_basket_coverage_share,selection_note
Northern Cape,Lead Mine,South Africa,national,10928.0,2008,10977.146797,1904,gdp_match,0.7647327964860908,,,no,,,Selected candidate year 1904 because its GDP per capita is closest to the GBR 1940 reference anchor.
Hereroland,Lead Mine,Namibia,,10928.0,,,1913,manual_override,,,,no,,,Mapped GDP geography lacks a value for the candidate resource years; representative year stayed manual.
Transorangia,Coal Mine,South Africa,national,10928.0,2008,10977.146797,1978,gdp_match,0.391196925329429,,,no,,,Selected candidate year 1978 because its GDP per capita is closest to the GBR 1940 reference anchor.
Transorangia,Gold Fields (undiscovered),South Africa,national,10928.0,2008,10977.146797,1953,gdp_match,0.609809663250366,,,no,,,Selected candidate year 1953 because its GDP per capita is closest to the GBR 1940 reference anchor.
West Transvaal,Iron Mine,South Africa,national,10928.0,2008,10977.146797,1940,gdp_match,0.6871339677891655,,,no,,,Selected candidate year 1940 because its GDP per capita is closest to the GBR 1940 reference anchor.
Eastern Transvaal,Iron Mine,South Africa,national,10928.0,2008,10977.146797,1969,gdp_match,0.42441434846266474,,,no,,,Selected candidate year 1969 because its GDP per capita is closest to the GBR 1940 reference anchor.
Namaqualand,Lead Mine,Namibia,national,10928.0,2015,9333.582794,2019,economic_peak_fallback,0.21597790757686675,,,no,,,Namibia never reaches GBR 1940 GDP per capita in the frozen series; candidate year 2019 is the strongest available development match under that ceiling.
Zambezi,Iron Mine,Zimbabwe,national,10928.0,1998,2369.019124,2001,economic_peak_fallback,0.7992552634516837,,,no,,,Zimbabwe never reaches GBR 1940 GDP per capita in the frozen series; candidate year 2001 is the strongest available development match under that ceiling.
Northern Transvaal,Coal Mine,South Africa,national,10928.0,2008,10977.146797,2010,gdp_match,0.035743461658125884,,,no,,,Selected candidate year 2010 because its GDP per capita is closest to the GBR 1940 reference anchor.
Botswana,Coal Mine,Botswana,,10928.0,,,2024,manual_override,,,,no,,,Mapped GDP geography lacks a value for the candidate resource years; representative year stayed manual.
Hereroland,Fishing,Namibia,national,10928.0,2015,9333.582794,2004,economic_peak_fallback,0.3857273257686677,,,no,,,Namibia never reaches GBR 1940 GDP per capita in the frozen series; candidate year 2004 is the strongest available development match under that ceiling.
Eastern Cape,Fishing,South Africa,national,10928.0,2008,10977.146797,2018,gdp_match,0.0865025501464129,,,no,,,Selected candidate year 2018 because its GDP per capita is closest to the GBR 1940 reference anchor.
Namaqualand,Fishing,Namibia,national,10928.0,2015,9333.582794,2010,economic_peak_fallback,0.27657934681551977,,,no,,,Namibia never reaches GBR 1940 GDP per capita in the frozen series; candidate year 2010 is the strongest available development match under that ceiling.
Lourenço Marques,Fishing,Mozambique,national,10928.0,1973,2986.0,2021,economic_peak_fallback,0.901759703147877,,,no,,,Mozambique never reaches GBR 1940 GDP per capita in the frozen series; candidate year 2021 is the strongest available development match under that ceiling.
Lancashire (Great Britain coalfields proxy),Coal Mine,United Kingdom,national,10928.0,1940,10928.0,1950,gdp_match,0.012170571010248902,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Wallonia (Belgium coal core),Coal Mine,Belgium,national,10928.0,1960,11081.0,1950,gdp_match,0.20333089311859442,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Bohemia (Czechoslovak coal core),Coal Mine,Czech Republic,,10928.0,,,1950,manual_override,,,,no,,,Mapped GDP geography lacks a value for the candidate resource years; representative year stayed manual.
Alsace-Lorraine (French coal core proxy),Coal Mine,France,national,10928.0,1958,10927.0,1950,gdp_match,0.24359443631039532,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Westphalia (Ruhr proxy),Coal Mine,Germany,national,10928.0,1958,10739.0,1950,gdp_match,0.4339311859443631,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Saxony (East German brown-coal core proxy),Coal Mine,Germany,national,10928.0,1958,10739.0,1950,gdp_match,0.4339311859443631,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Austria,Coal Mine,Austria,national,10928.0,1961,10882.0,1950,gdp_match,0.4594619326500732,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Upper Silesia (Polish coal core),Coal Mine,Poland,national,10928.0,1997,10811.274224,1950,gdp_match,0.6431185944363104,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Asturias (Spanish coal core proxy),Coal Mine,Spain,national,10928.0,1972,10787.692666,1950,gdp_match,0.6834333590775988,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
New South Wales,Coal Mine,Australia,national,10928.0,1945,11026.0,1950,gdp_match,0.08116764275256222,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Alberta (Canadian coal core proxy),Coal Mine,Canada,national,10928.0,1946,11048.0,1950,gdp_match,0.06350658857979502,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Bihar,Coal Mine,India,national,10928.0,2022,7765.592962,1950,economic_peak_fallback,0.909681551976574,,,no,,,India never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Shanxi,Coal Mine,China,national,10928.0,2012,10946.833971,1950,gdp_match,0.926885065885798,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Kyushu,Coal Mine,Japan,national,10928.0,1967,11400.0,1950,gdp_match,0.7198023426061494,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Kastamonu (Turkish coal core proxy),Coal Mine,Turkey,national,10928.0,2001,10950.992094,1950,gdp_match,0.8097547584187409,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Rio Grande do Sul,Coal Mine,Brazil,national,10928.0,2004,10949.66012,1950,gdp_match,0.7953879941434846,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Los Rios (Chilean south-coal proxy),Coal Mine,Chile,national,10928.0,1991,10746.491564,1950,gdp_match,0.46193265007320644,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
East Hausaland (Nigerian coal proxy),Coal Mine,Nigeria,national,10928.0,2015,5558.025667,1950,economic_peak_fallback,0.890190336749634,,,no,,,Nigeria never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Zambia (Southern Rhodesian coal proxy),Coal Mine,Zambia,national,10928.0,2018,3521.505006,1950,economic_peak_fallback,0.9035505124450952,,,no,,,Zambia never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Malaya,Coal Mine,Malaysia,national,10928.0,1994,10867.256099,1950,gdp_match,0.7726024890190337,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Norrland,Iron Mine,Sweden,national,10928.0,1951,11077.0,1950,gdp_match,0.017020497803806735,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Lorraine,Iron Mine,France,national,10928.0,1958,10927.0,1950,gdp_match,0.24359443631039532,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Westphalia (Federal German ore proxy),Iron Mine,Germany,national,10928.0,1958,10739.0,1950,gdp_match,0.4339311859443631,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Styria (Austrian ore proxy),Iron Mine,Austria,national,10928.0,1961,10882.0,1950,gdp_match,0.4594619326500732,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Bohemia,Iron Mine,Czech Republic,,10928.0,,,1950,manual_override,,,,no,,,Mapped GDP geography lacks a value for the candidate resource years; representative year stayed manual.
Sierra Leone,Iron Mine,Sierra Leone,national,10928.0,2014,2007.0,1950,economic_peak_fallback,0.9174597364568082,,,no,,,Sierra Leone never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Quebec (Canadian ore core proxy),Iron Mine,Canada,national,10928.0,1946,11048.0,1950,gdp_match,0.06350658857979502,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Orissa (Indian ore core proxy),Iron Mine,India,national,10928.0,2022,7765.592962,1950,economic_peak_fallback,0.909681551976574,,,no,,,India never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Western Australia,Iron Mine,Australia,national,10928.0,1945,11026.0,1950,gdp_match,0.08116764275256222,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Upper Silesia,Iron Mine,Poland,national,10928.0,1997,10811.274224,1950,gdp_match,0.6431185944363104,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Basque Country (Spanish ore proxy),Iron Mine,Spain,national,10928.0,1972,10787.692666,1950,gdp_match,0.6834333590775988,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Jalisco (Mexican ore proxy),Iron Mine,Mexico,national,10928.0,1997,11030.343187,1950,gdp_match,0.6788067349926794,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Minas Gerais,Iron Mine,Brazil,national,10928.0,2004,10949.66012,1950,gdp_match,0.7953879941434846,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Antofagasta (Chilean ore proxy),Iron Mine,Chile,national,10928.0,1991,10746.491564,1950,gdp_match,0.46193265007320644,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Constantine (Tunisian ore proxy),Iron Mine,Algeria,national,10928.0,2007,10974.742287,1950,gdp_match,0.8008784773060029,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Inner Morocco,Iron Mine,Morocco,national,10928.0,2019,8540.803444,1950,economic_peak_fallback,0.7877928257686676,,,no,,,Morocco never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Shanxi,Iron Mine,China,national,10928.0,2012,10946.833971,1950,gdp_match,0.926885065885798,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Hokkaido (Japanese ore proxy),Iron Mine,Japan,national,10928.0,1967,11400.0,1950,gdp_match,0.7198023426061494,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Luzon (Philippine ore proxy),Iron Mine,Philippines,national,10928.0,2019,8602.145534,1950,economic_peak_fallback,0.843887262079063,,,no,,,Philippines never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Erzurum (Turkish ore proxy),Iron Mine,Turkey,national,10928.0,2001,10950.992094,1950,gdp_match,0.8097547584187409,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
South Australia (Australian lead core proxy),Lead Mine,Australia,national,10928.0,1945,11026.0,1950,gdp_match,0.08116764275256222,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
New Brunswick (Canadian lead core proxy),Lead Mine,Canada,national,10928.0,1946,11048.0,1950,gdp_match,0.06350658857979502,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Rhineland (Federal German lead proxy),Lead Mine,Germany,national,10928.0,1958,10739.0,1950,gdp_match,0.4339311859443631,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Sardinia (Italian lead core proxy),Lead Mine,Italy,national,10928.0,1962,10882.0,1950,gdp_match,0.4892020497803807,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Upper Andalusia (Spanish lead core proxy),Lead Mine,Spain,national,10928.0,1972,10787.692666,1950,gdp_match,0.6834333590775988,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Svealand (Swedish lead proxy),Lead Mine,Sweden,national,10928.0,1951,11077.0,1950,gdp_match,0.017020497803806735,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Bosnia (Yugoslav lead core proxy),Lead Mine,Bosnia and Herzegovina,,10928.0,,,1950,manual_override,,,,no,,,Mapped GDP geography lacks a value for the candidate resource years; representative year stayed manual.
Inner Morocco,Lead Mine,Morocco,national,10928.0,2019,8540.803444,1950,economic_peak_fallback,0.7877928257686676,,,no,,,Morocco never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Tunisia,Lead Mine,Tunisia,national,10928.0,2022,10913.845489,1950,gdp_match,0.8373901903367497,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Missouri (United States lead core proxy),Lead Mine,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Kyushu (Japanese lead proxy),Lead Mine,Japan,national,10928.0,1967,11400.0,1950,gdp_match,0.7198023426061494,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Erzurum (Turkish lead proxy),Lead Mine,Turkey,national,10928.0,2001,10950.992094,1950,gdp_match,0.8097547584187409,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
West Country (Portuguese lead proxy),Lead Mine,United Kingdom,national,10928.0,1940,10928.0,1950,gdp_match,0.012170571010248902,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Styria (Austrian lead proxy),Lead Mine,Austria,national,10928.0,1961,10882.0,1950,gdp_match,0.4594619326500732,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Lorraine (French lead proxy),Lead Mine,France,national,10928.0,1958,10927.0,1950,gdp_match,0.24359443631039532,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Upper Silesia,Lead Mine,Poland,national,10928.0,1997,10811.274224,1950,gdp_match,0.6431185944363104,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Attica (Greek lead proxy),Lead Mine,Greece,national,10928.0,1971,10559.0,1950,gdp_match,0.7207174231332357,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Zambia (Northern Rhodesian lead proxy),Lead Mine,Zambia,national,10928.0,2018,3521.505006,1950,economic_peak_fallback,0.9035505124450952,,,no,,,Zambia never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Nigeria (Nigerian lead proxy),Lead Mine,Nigeria,national,10928.0,2015,5558.025667,1950,economic_peak_fallback,0.890190336749634,,,no,,,Nigeria never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
West Country (British lead proxy),Lead Mine,United Kingdom,national,10928.0,1940,10928.0,1950,gdp_match,0.012170571010248902,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Texas (U.S. crude sulfur core),Sulfur Mine,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Louisiana (U.S. by-product sulfur proxy),Sulfur Mine,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Florida (U.S. recovered sulfur proxy),Sulfur Mine,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Sicily,Sulfur Mine,Italy,national,10928.0,1962,10882.0,1950,gdp_match,0.4892020497803807,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Lorraine (French sulfur proxy),Sulfur Mine,France,national,10928.0,1958,10927.0,1950,gdp_match,0.24359443631039532,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Midlands (British industrial sulfur proxy),Sulfur Mine,United Kingdom,national,10928.0,1940,10928.0,1950,gdp_match,0.012170571010248902,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
South Australia,Sulfur Mine,Australia,national,10928.0,1945,11026.0,1950,gdp_match,0.08116764275256222,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Western Norway,Sulfur Mine,Norway,national,10928.0,1959,10957.0,1950,gdp_match,0.207997803806735,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Alentejo,Sulfur Mine,Portugal,national,10928.0,1976,10861.0,1950,gdp_match,0.6957357247437774,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Lower Andalusia (Spanish sulfur proxy),Sulfur Mine,Spain,national,10928.0,1972,10787.692666,1950,gdp_match,0.6834333590775988,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Hesse (Swedish sulfur proxy),Sulfur Mine,Germany,national,10928.0,1958,10739.0,1950,gdp_match,0.4339311859443631,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
California (Mexican sulfur proxy),Sulfur Mine,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Kyushu,Sulfur Mine,Japan,national,10928.0,1967,11400.0,1950,gdp_match,0.7198023426061494,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Kerman,Sulfur Mine,Iran (Islamic Republic of),national,10928.0,1976,10665.0,1950,gdp_match,0.7490849194729137,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Fars (Turkish sulfur proxy),Sulfur Mine,Iran (Islamic Republic of),national,10928.0,1976,10665.0,1950,gdp_match,0.7490849194729137,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Antofagasta (Colombian sulfur proxy),Sulfur Mine,Chile,national,10928.0,1991,10746.491564,1950,gdp_match,0.46193265007320644,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Arequipa (Bolivian sulfur proxy),Sulfur Mine,Peru,national,10928.0,2020,11136.99109,1950,gdp_match,0.6633418740849195,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Rio Negro (Argentine sulfur proxy),Sulfur Mine,Argentina,national,10928.0,1985,10895.0,1950,gdp_match,0.27260248901903367,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Arequipa (Peruvian sulfur proxy),Sulfur Mine,Peru,national,10928.0,2020,11136.99109,1950,gdp_match,0.6633418740849195,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Hokkaido (Formosa sulfur proxy),Sulfur Mine,Japan,national,10928.0,1967,11400.0,1950,gdp_match,0.7198023426061494,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
West Transvaal (Rand gold core),Gold Fields (undiscovered),South Africa,national,10928.0,2008,10977.146797,1950,gdp_match,0.6302159590043924,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Zambezi (Southern Rhodesian gold core),Gold Fields (undiscovered),Zimbabwe,national,10928.0,1998,2369.019124,1950,economic_peak_fallback,0.897785505124451,,,no,,,Zimbabwe never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Western Australia,Gold Fields (undiscovered),Australia,national,10928.0,1945,11026.0,1950,gdp_match,0.08116764275256222,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
British Columbia (Canadian gold proxy),Gold Fields (undiscovered),Canada,national,10928.0,1946,11048.0,1950,gdp_match,0.06350658857979502,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
South Dakota (United States gold proxy),Gold Fields (undiscovered),United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Sonora,Gold Fields (undiscovered),Mexico,national,10928.0,1997,11030.343187,1950,gdp_match,0.6788067349926794,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Minas Gerais,Gold Fields (undiscovered),Brazil,national,10928.0,2004,10949.66012,1950,gdp_match,0.7953879941434846,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Antioquia,Gold Fields (undiscovered),Colombia,national,10928.0,2009,10894.102288,1950,gdp_match,0.6859443631039531,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Antofagasta (Chilean gold proxy),Gold Fields (undiscovered),Chile,national,10928.0,1991,10746.491564,1950,gdp_match,0.46193265007320644,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Cajamarca,Gold Fields (undiscovered),Peru,national,10928.0,2020,11136.99109,1950,gdp_match,0.6633418740849195,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Guayana (British Guiana placer proxy),Gold Fields (undiscovered),Guyana,,10928.0,,,1950,manual_override,,,,no,,,"Manual GDP exception in v1: MPD 2023 country file does not include Guyana, so GDP-anchored selection stays explicit manual override for this entity."
South Island,Gold Fields (undiscovered),New Zealand,national,10928.0,1944,10947.0,1950,gdp_match,0.23343704245973645,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Gold Coast,Gold Fields (undiscovered),Ghana,national,10928.0,2022,4242.410669,1950,economic_peak_fallback,0.8363836017569546,,,no,,,Ghana never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Hokkaido (Japanese gold proxy),Gold Fields (undiscovered),Japan,national,10928.0,1967,11400.0,1950,gdp_match,0.7198023426061494,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Luzon,Gold Fields (undiscovered),Philippines,national,10928.0,2019,8602.145534,1950,economic_peak_fallback,0.843887262079063,,,no,,,Philippines never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Honduras,Gold Fields (undiscovered),Honduras,national,10928.0,2022,5186.530263,1950,economic_peak_fallback,0.8153367496339677,,,no,,,Honduras never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Nicaragua,Gold Fields (undiscovered),Nicaragua,national,10928.0,1977,5247.0,1950,economic_peak_fallback,0.7652818448023426,,,no,,,Nicaragua never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Northern Cape (South West Africa proxy),Gold Fields (undiscovered),South Africa,national,10928.0,2008,10977.146797,1950,gdp_match,0.6302159590043924,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Kenya,Gold Fields (undiscovered),Kenya,national,10928.0,2022,3403.923807,1950,economic_peak_fallback,0.9050146412884333,,,no,,,Kenya never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Tanganyika,Gold Fields (undiscovered),U.R. of Tanzania: Mainland,national,10928.0,2022,3057.328725,1950,economic_peak_fallback,0.9381405563689604,,,no,,,U.R. of Tanzania: Mainland never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1950 is the strongest available development match under that ceiling.
Maine,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
New Hampshire,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Massachusetts,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Rhode Island,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Connecticut,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
New York,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
New Jersey,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
