state,resource,question,source_a_title,source_a_url,source_a_locator,source_b_title,source_b_url,source_b_locator,result,decision,row_id,row_status,supersedes_row_id,state_pass_index,changed_on,change_reason
Eastern Transvaal,Wood,Does Eastern Transvaal justify a major managed-forestry row on direct target evidence rather than a comparator fill?,Report on Commercial Timber Resources and Primary Roundwood Processing in South Africa 2019/2020,https://www.dffe.gov.za/sites/default/files/reports/research/forestry/annualreport_commercialtimberresources_primaryroundwoodprocessing2019to2020.pdf,"Table 20: Mpumalanga plantation area in 2019/20 = 348,111 ha, confirming that the main South African plantation belt sits in this broader state footprint.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,The eastern escarpment and coastal forest discussion supports a stronger timber position in the wetter east than in the dry interior.,Counterfactual checked; Eastern Transvaal has direct managed-forestry support and should not rely on a giant legacy Y.,Wood stays enabled in Eastern Transvaal through direct managed-forestry area rather than a weak proxy anchor.,counterevidence-0011,active,,0,,baseline row
West Transvaal,Gold Fields (discovered),Should the Rand be treated as already discovered at game start?,Discovery of the Gold in 1884,https://sahistory.org.za/article/discovery-gold-1884,The Rand discovery sequence is explicitly post-1884/1886.,"South Africa: Diamonds, gold, and imperialist intervention (1870–1902)",https://www.britannica.com/place/South-Africa/Diamonds-gold-and-imperialist-intervention-1870-1902,"The article ties the decisive gold boom to the late nineteenth century, well after the start date.",Counterfactual checked and rejected.,West Transvaal gold stays undiscovered only.,counterevidence-0012,active,,0,,baseline row
Eastern Transvaal,Gold Fields (discovered),Should Pilgrim’s Rest and Barberton be active in 1836?,Pilgrim’s Rest,https://museums.mpg.gov.za/pilgrims-rest/,Pilgrim’s Rest belongs to the 1873 discovery sequence.,"Barberton, Mpumalanga",https://sahistory.org.za/place/barberton-mpumalanga,Barberton’s gold rush begins in 1884.,Counterfactual checked and rejected.,Eastern Transvaal retains only late undiscovered precious-field potential.,counterevidence-0013,superseded,,0,2026-04-22,Superseded by counterevidence-0045 during the Eastern Transvaal state pass.
Northern Transvaal,Gold Fields (discovered),Does the northern split warrant a discovered precious-field row at 1836?,1911 Encyclopædia Britannica/Transvaal,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Transvaal,"The province-wide mining story centers on the Rand and the eastern goldfields, not on a separate northern 1836 field.",Statesman’s Year-Book 1913 – Transvaal Province,https://en.wikisource.org/wiki/Page%3AStatesman%27s_Year-Book_1913.djvu/341,"The northern split’s early documented economic anchors are agricultural and ferrous, not a distinct precious-field rush.",Counterfactual checked and rejected.,Northern Transvaal keeps only a small undiscovered precious-field holdover.,counterevidence-0014,active,,0,,baseline row
Transorangia,Gold Fields,Should the Free State goldfields create a pre-1936 precious-field row?,The search for gold in the Free State,https://www.theheritageportal.co.za/article/search-gold-free-state,Exploration intensifies in 1933–1935; the decisive rich borehole at Odendaalsrus comes only in April 1939.,Harmony History | Becoming South Africa's Top-Tier Gold Producer,https://www.harmony.co.za/about/history/,"Harmony, one of the Free State fields’ archetypal mines, was established in 1950 and first gold poured in 1954.",Counterfactual checked; gold potential is real but the commercial field lies beyond the 1936 upper-bound horizon used here.,Transorangia keeps no shipped precious-field row.,counterevidence-0015,active,,0,,baseline row
Drakensberg,Gold Fields,Should Lesotho diamonds be abstracted into a Drakensberg gold-field row by 1936?,Letšeng’s Unique Diamond Proposition,https://www.gia.edu/gems-gemology/fall-2015-letseng-unique-diamond-proposition,The Letšeng kimberlite pipes were discovered only in 1957; artisanal activity begins in the mid-1960s.,Diamonds on Location - Lesotho,https://4cs.gia.edu/en-us/blog/diamonds-location-lesotho/,The mine was intermittently abandoned and was not profitably revived until 2004.,Counterfactual checked and rejected.,Drakensberg keeps no precious-field row in the shipped package.,counterevidence-0016,active,,0,,baseline row
Drakensberg,Arable Land,Should Drakensberg keep only a sharply reduced mountain arable row instead of a broad vanilla-style agricultural footprint?,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Lesotho is a small grain-and-livestock state, but the mountains are much better treated as grazing land than as broad arable land.",resource_upperbound_audit.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_upperbound_audit.md,The public audit note explicitly says the arable cut is well supported by Basutoland crop and livestock data.,Counterfactual checked; agriculture is real but heavily mountain-constrained.,Drakensberg keeps a sharply reduced arable row.,counterevidence-0017,active,,0,,baseline row
Botswana,Coal Mine,Is a large Botswana coal ceiling implausible because there was no pre-war mine?,Coal Deposits,https://www.geologicalsociety.org.zw/sites/default/files/news-attachments/Coal%20Deposits%20Lesley%20Jeffrey%20Nov21%20GSZ.pdf,"Morupule production begins only after 1973, confirming late commercialization.",Coal Classification Study | Botswana Geoscience Institute,https://www.bgi.org.bw/coal-classification-study,"BGI describes a national effort to classify and quantify coal across the known coalfields, confirming that the latent resource base is geologically large.",Counterfactual checked; geology supports latent capacity but the horizon does not support an active nineteenth-century coal industry.,Botswana keeps a large latent coal cap but not a start-date production story.,counterevidence-0018,superseded,,0,2026-04-22,Superseded by counterevidence-0049 during the Botswana state pass.
Botswana,Arable Land,Should Botswana stay low-arable rather than collapse to zero or retain a broad breadbasket cap?,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Botswana is explicitly described as livestock-first, with only limited cereal bonuses in the northeast and eastern corridor; it should never be treated as a breadbasket.",resource_upperbound_audit.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_upperbound_audit.md,The audit note explicitly summarizes Botswana as livestock-first with sharply reduced arable.,Counterfactual checked; Botswana should be low-arable but not zero-arable.,Botswana keeps only a token arable floor.,counterevidence-0019,active,,0,,baseline row
Botswana,Coal Mine,Does Botswana's large coal geology justify a shipped coal row in the audited public workbook?,Coal Deposits,https://www.geologicalsociety.org.zw/sites/default/files/news-attachments/Coal%20Deposits%20Lesley%20Jeffrey%20Nov21%20GSZ.pdf,Morupule Colliery was the first operating coal mine in Botswana when it opened in 1973.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Botswana is a late coal-potential state; coal is recognized in the early 1930s but output arrives much later.,"Counterfactual checked; Botswana's coal geology is substantial, but the commercial story is localized and post-1936.",Coal Mine remains disabled in Botswana's shipped public row.,counterevidence-0049,active,counterevidence-0018,9,2026-04-22,Botswana state pass: updated the coal counterevidence to match the shipped public zero row.
Lourenço Marques,Coal Mine,Could southern Mozambique support a meaningful coal row instead of a crop-and-port economy?,Mozambique: Economy,https://www.britannica.com/place/Mozambique/Economy,"The country article emphasizes sugar, cashew, cotton, rice, fishing, and transport; it does not make Maputo/southern Mozambique a coal district.",O Movimento Associativo Africano em Moçambique: Tradição e Luta (1926-1962),https://run.unl.pt/server/api/core/bitstreams/a7426e5c-8034-41e8-8711-161d38782a00/content,"Export tables for southern Mozambique are dominated by cane, cotton, bananas, and food crops rather than coal.",Counterfactual checked and rejected.,Coal remains disabled in Lourenço Marques.,counterevidence-0020,superseded,,0,2026-04-22,Superseded by counterevidence-0051 during the Lourenço Marques state pass.
Zambezi,Tea Plantation,"Is tea just tropical spillover, or does the Rhodesian highland row need it?",Company History – Tanganda Tea,https://tangandatea.com/history-and-values/,Tea seed arrived in 1924; the first commercial tea crop was produced in 1930 in the eastern highlands.,"Annual Report on Tobacco Statistics, 1938",https://downloads.usda.library.cornell.edu/usda-esmis/files/2v23vt362/cj82kb71j/k3569765z/tobaccoest_Annual_Report_on_Tobacco_Statistics_1938__1909-38.pdf,"Tobacco remains the dominant commercial crop, so tea is secondary rather than defining.",Counterfactual checked; tea is not dominant but is present by 1930 and therefore belongs in the plateau crop mix.,Tea remains enabled in Zambezi.,counterevidence-0021,active,,0,,baseline row
Hereroland,Coal Mine,Could northern Namibia plausibly support a coal row rather than a base-metal and pastoral row?,Mines and Products,https://www.mme.gov.na/minesprod/products/,"The official Namibian mining summary foregrounds copper, lead, zinc, and uranium rather than a historic northern coal industry.","Chronology of Namibian History, 1906",https://www.klausdierks.com/Chronology/63.htm,Tsumeb production milestones define the pre-war Hereroland mining story.,Counterfactual checked and rejected.,Hereroland coal remains disabled.,counterevidence-0022,active,,0,,baseline row
Hereroland,Arable Land,Should Hereroland collapse to zero arable, or keep only a token pastoral-agricultural row?,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"For Namibia the north and central highlands are livestock-first, with millet and some maize in the northern belt; the mod logic should be a narrow agricultural bow rather than no agriculture at all.",Statesman's Year-Book 1921 – South-West Africa,https://en.wikisource.org/wiki/Page%3AStatesman%27s_Year-Book_1921.djvu/293,"The estimated number in 1920 was 400,000 cattle and 2,225,000 sheep and goats, confirming a real pastoral economy.",Counterfactual checked; Hereroland is extremely low-arable,counterevidence-0023,active,,0,,baseline row
Namaqualand,Coal Mine,Could southern Namibia justify a coal row under maximum plausible 1936 investment?,"A historical review of land and water use in the Orange-Fish River Basin, Namibia",https://www.drfn.info/publications/reports/a-historical-review-of-land-and-water-use-in-the-orange-fish-river-basin-namibia,"The state-scale story is aridity, river-irrigated pockets, and stock farming rather than coal development.",Our history,https://www.roshpinahzinc.com/our-history,"The identifiable southern ore body is Rosh Pinah base metal, not coal, and commercial production begins only in 1969.",Counterfactual checked and rejected.,Namaqualand coal remains disabled.,counterevidence-0024,active,,0,,baseline row
Namaqualand,Arable Land,Should Namaqualand keep a tiny pastoral arable row instead of falling to zero?,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"The southern and western Namibian desert-karoo belt is primarily sheep/goat country with only very limited agriculture, but it is not treated as literally agriculture-free.",resource_upperbound_audit.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_upperbound_audit.md,The audit note explicitly summarizes Namaqualand as a very low-arable maritime-pastoral state.,Counterfactual checked; Namaqualand should be extremely low-arable rather than zero-arable.,Namaqualand keeps only a token arable floor.,counterevidence-0025,active,,0,,baseline row
West Transvaal,Sulfur Mine,Could industrially usable sulfur be abstracted from Transvaal mining and coal chemistry by 1936?,Implications of Sulfur Speciation on the Assessment of Acid Rock Drainage Generating Potential: A Study of South African Coal Processing Wastes,https://www.mdpi.com/2075-163X/9/12/776,"South African coals contain sulfur-bearing fractions, but the paper is about waste chemistry rather than a pre-1936 sulfur output industry.",Southern Africa’s sulphur and acid mix,https://www.bcinsight.crugroup.com/2022/07/31/southern-africas-sulphur-and-acid-mix/,"Regional sulfuric-acid production is tied mainly to later metals processing and modern industrial plants, not to a documented 1936 West/East Transvaal sulfur stream.","Counterfactual checked; chemically plausible, but no public state-level production case was found for the 1836–1936 horizon.",Standalone sulfur mine rows remain disabled in the Transvaal split.,counterevidence-0026,active,,0,,baseline row
Northern Cape,Lead Mine,Does Little Namaqualand justify a moderate western base-metal row rather than zero or a very large cap?,"The Mineral Industry, 1904",https://upload.wikimedia.org/wikipedia/commons/3/3c/The_Mineral_industry_%28IA_gri_33125014727172%29.pdf,"South Africa section: the mines in Little Namaqualand yield about 7,000 tons of copper per year.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Copper mining in Namaqualand became real but remained modest relative to the Witwatersrand-scale districts.,"Counterfactual checked; the district is real, but the larger 15-cap uplift is not tightly supported.",Lead row remains enabled in Northern Cape at a moderate cap.,counterevidence-0027,active,,0,,baseline row
West Transvaal,Lead Mine,Does the Argent district justify a small active lead row in the western Transvaal split?,Lead in South Africa,https://www.saimm.co.za/Journal/v086n04p097.pdf,"Argent Mines and Smelter, 1922–1925: about 360 t of crude lead per month.",mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,"The Transvaal lead-silver district around Argent and Albert is described as enough for a small in-game lead resource, not a major lead-state.",Counterfactual checked; the district is niche but clearly real.,Lead row remains enabled in West Transvaal as a small niche resource.,counterevidence-0028,superseded,,0,2026-04-22,Superseded by counterevidence-0043 during the West Transvaal state pass.
Hereroland,Lead Mine,Should Hereroland keep a large lead-row proxy after the Tsumeb selector fix?,"Chronology of Namibian History, 1906",https://www.klausdierks.com/Chronology/63.htm,1906 entry: Tsumeb production reaches a maximum of 70 000 t before World War One.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Namibia is best treated as a small but high-quality lead-state concentrated in Tsumeb/Otavi and Berg Aukas.,"Counterfactual checked; the district is one of the strongest base-metal cases in the scope, but bulk ore tonnage still overstates the slot-equivalent cap.",Lead row remains enabled in Hereroland at a large but moderated cap.,counterevidence-0029,active,,0,,baseline row
Zambezi,Lead Mine,Does Zambezi need an active lead row rather than latent potential only?,1911 Encyclopædia Britannica/Rhodesia,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Rhodesia,"Mining section: the mineral wealth of Rhodesia includes lead, 965 tons (1909).",mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,"The Manicaland / Mutare belt is better treated as latent lead potential, not an active pre-1936 lead-state.",Counterfactual checked and rejected.,Lead remains disabled in Zambezi.,counterevidence-0030,active,,0,,baseline row
Drakensberg,Coal Mine,Should Drakensberg keep a token coal row after removing the mis-mapped Natal anchor?,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Lesotho has real coal occurrences but no meaningful commercial coal output in 1836–1936; it fits better as a discoverable coal node.,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,The recommended Drakensberg coal midpoint stayed low because the state is flavour-first and not a full commercial coal district.,"Counterfactual checked; commercial output is not supported, but a token latent node is still reasonable.",Coal row remains enabled in Drakensberg only as a token latent-prospect cap.,counterevidence-0031,active,,0,,baseline row
Northern Transvaal,Wood,Does Limpopo justify a token wood row instead of a hard zero?,Report on Commercial Timber Resources and Primary Roundwood Processing in South Africa 2019/2020,https://www.dffe.gov.za/sites/default/files/reports/research/forestry/annualreport_commercialtimberresources_primaryroundwoodprocessing2019to2020.pdf,"Table 20 and Limpopo section: 32,589 ha of commercial timber plantations were recorded in Limpopo in 2019/20.",Forestry | South African Government,https://www.gov.za/af/about-sa/forestry,"Commercial forestry contributes about 0.6% to Limpopo regional GDP; Limpopo is small in the sector, but not absent.","Counterfactual checked; Limpopo is a small forestry fringe, not a true zero.",Wood remains enabled in Northern Transvaal as a token commercial-forestry row.,counterevidence-0032,active,,0,,baseline row
Drakensberg,Wood,Should Drakensberg stay at zero wood after the potential-forestry redesign?,Forests and Climate Change Working Paper 12,https://www.fao.org/4/i2970e/i2970e.pdf,"Botswana, Lesotho and Namibia do not have commercial plantations, except for some small woodlots and shelterbelts.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Lesotho is reviewed as a mountain grain-and-pastoral system rather than a forestry economy.,Counterfactual checked and rejected.,Wood remains disabled in Drakensberg.,counterevidence-0033,active,,0,,baseline row
Lourenço Marques,Wood,Should Lourenço Marques carry a forestry row once Mozambique plantation potential is considered?,Forestry - SAFCOL,https://www.safcol.co.za/about-us/our-business/forestry,SAFCOL forestry operations in Mozambique are in Manica and Sofala provinces.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Southern Mozambique and the lower Limpopo are reviewed through maize, millet, rice, bananas, sugar, and cotton rather than forestry.",Counterfactual checked and rejected.,Wood remains disabled in Lourenço Marques.,counterevidence-0034,superseded,,0,2026-04-22,Superseded by counterevidence-0052 during the Lourenço Marques state pass.
Zambezi,Wood,Should Zambezi keep a zero wood row or carry a moderate forestry slot?,Forests and Climate Change Working Paper 12,https://www.fao.org/4/i2970e/i2970e.pdf,"Zimbabwe has 108,000 ha of commercial plantations.",Zimbabwe Biodiversity Report,https://www.awf.org/sites/default/files/2023-09/ZBE%20Report%20Final%20Copy%20-%20080923.pdf,"Zimbabwe has 108,000 ha of planted or exotic forests today; about 90% of the plantation estates are in the Eastern Highlands, and the area was about 156,000 ha in 1996.",Counterfactual checked; Zimbabwe has a real plantation forestry sector and should not stay at zero.,Wood remains enabled in Zambezi as a moderate forestry row.,counterevidence-0035,active,,0,,baseline row
Northern Cape,Gold Fields (discovered),Should Kimberley-style diamonds appear as already discovered in 1836?,"South Africa - Diamonds, Gold, Imperialism | Britannica",https://www.britannica.com/place/South-Africa/Diamonds-gold-and-imperialist-intervention-1870-1902,"A chance find in 1867 drew fortune seekers to the river diggings, and the diamond rush to Kimberley began in 1870.",First recorded discovery of diamonds in the colonial period of South Africa | South African History Online,https://sahistory.org.za/dated-event/first-recorded-discovery-diamonds-colonial-period-south-africa,13 October 1867 marks the first recorded diamond discovery; by 1871 more diamonds were found near present-day Kimberley.,Counterfactual checked and rejected.,Northern Cape keeps only undiscovered precious-field potential.,counterevidence-0036,active,counterevidence-0004,2,2026-04-22,Northern Cape state pass: refreshed Kimberley chronology with explicit 1867-1871 citations.
Northern Cape,Iron Mine,Should Northern Cape iron be scaled straight from modern Sishen output?,"IGC35 Abstracts: Paleoproterozoic banded iron formation-hosted high-grade hematite iron ore deposits of the Transvaal Supergroup, South Africa",https://information.americangeosciences.org/open-collections/igc/1916/,Paper 1916 abstract: first production of high-grade banded iron ore commenced in 1931 from the Maremane Dome and Thabazimbi.,Kumba Iron Ore Integrated Report 2019,https://www.angloamericankumba.com/~/media/Files/A/Anglo-American-Group/Kumba/reports/annual-report/kumba-iron-ore-annual-results-2019.pdf,"History timeline: Sishen, the flagship Northern Cape operation, was opened in 1953.","Counterfactual checked; a nonzero Northern Cape iron row is real, but modern Sishen scale is too late and too large to drive the cap directly.",Northern Cape keeps a small bounded iron row instead of a dominant modern-scale iron basin.,counterevidence-0037,active,,2,2026-04-22,Northern Cape state pass: documented the trigger-row check against 1931 Maremane production and 1953 Sishen timing.
Eastern Cape,Vineyard,Does Sarah Baartman viticulture justify a full Eastern Cape vineyard row?,"Census of commercial agriculture, 2007",https://www.statssa.gov.za/publications/Report-11-02-01/Report-11-02-012007.pdf,"The 2007 province table records Eastern Cape wine-grapes at 0 while Western Cape records 2,369,196 metric tons.","Census of commercial agriculture, 2017",https://www.statssa.gov.za/publications/Report-11-02-01/Report-11-02-012017.pdf,"Eastern Cape wine grapes = 4,943 metric tons, versus Western Cape wine grapes = 675,948 metric tons.",Counterfactual checked; viticulture exists but remains too small and too localized for a full state row.,Vineyard remains disabled in Eastern Cape.,counterevidence-0038,active,counterevidence-0008,3,2026-04-22,Eastern Cape state pass: refreshed the vineyard row against the 2007 and 2017 commercial-agriculture census tables.
Eastern Cape,Coal Mine,Does the eastern Cape need a nonzero coal row after the split?,Report on the profiling of the current,https://www.nda.gov.za/images/Branches/FoodSecurityAgrReform/national-extension-support/natextensionsupp-research-report/profilereport19nov2009.pdf,Section 3.2 General profile of agriculture in the Eastern Cape: the province is mixed-farming plus fishery/forestry/coalfied country rather than a pure plantation zone.,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,"Molteno/Indwe output peaks at about 175,000 tpa between 1900 and 1904 before declining, confirming a real historical coal district.",Counterfactual checked; the field is secondary to the Transvaal but clearly real.,Coal row remains enabled in Eastern Cape.,counterevidence-0039,active,counterevidence-0009,3,2026-04-22,Eastern Cape state pass: rechecked the Molteno-Indwe district and kept a nonzero coal row with localized support.
Eastern Cape,Tea Plantation,Do Magwa and Majola justify a live Eastern Cape tea row?,TEA PRODUCTION IN THE EASTERN CAPE,https://nda.gov.za/images/Branches/AgricProducHealthFoodSafety/agriculture-inputs-control/events-and-meetings/session-c/tea-production-eastern-cape-province.pdf,"Magwa & Majola tea estates; at peak the farm had turnover of R65-million a season, with 1,200 permanent staff and 2,300 seasonal workers.",Report on the profiling of the current,https://www.nda.gov.za/images/Branches/FoodSecurityAgrReform/national-extension-support/natextensionsupp-research-report/profilereport19nov2009.pdf,Section 3.2 General profile of agriculture in the Eastern Cape: tea is an important commodity farmed at Magwa (Lusikisiki) and Majola (Port St Johns).,Direct local historical-commercial support confirmed.,Tea is enabled in Eastern Cape.,counterevidence-0040,active,,3,2026-04-22,Eastern Cape state pass: turned the tea row on after confirming Magwa and Majola inside the state footprint.
