sheet,geography,resource,year,normalized_quantity,normalized_unit,source_title,source_url,citation_locator,note,evidence_scope,target_match_status,slot_support_status,localization_discount,validation_note,row_id,row_status,supersedes_row_id,state_pass_index,changed_on,change_reason
W_Cape,"Maule Region
STATE_SANTIAGO
Vanilla name: STATE_SANTIAGO",Wheat Farm,2003,266838.0,t output,"Odepa cultivos anuales regionales, 2025 update",https://bibliotecadigital.odepa.gob.cl/bitstream/handle/20.500.12650/74178/CultivosRegional072025.xls,"Sheet 'Serie producción regional'; region Maule Region; column Trigo
Total; maximum annual production in metric tons for season ending 2003.",Official ODEPA regional crop-production series; maximum annual tonnage used.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0033,active,,0,,baseline row
W_Cape,"Maule Region
STATE_SANTIAGO
Vanilla name: STATE_SANTIAGO",Livestock Ranch,2007,131788.0,head livestock,"Odepa existencias bovinos, ovinos y caprinos",https://bibliotecadigital.odepa.gob.cl/bitstreams/fd09efd0-c13b-4652-be10-42ddca3650a8/download,"Bovino/Ovino/Caprino sheets; region Maule Region; cattle, sheep, and goats summed; maximum annual herd total in 2007.","Official ODEPA regional herd counts; bovine, ovine, and caprine heads summed for the ranching proxy.",state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0034,active,,0,,baseline row
W_Cape,"Western Australia
STATE_WESTERN_AUSTRALIA
Vanilla name: STATE_WESTERN_AUSTRALIA",Wheat Farm,2022,14682964.0,t output,"Australian Agriculture: Broadacre Crops, 2023-24",https://www.abs.gov.au/statistics/industry/agriculture/australian-agriculture-broadacre-crops/2023-24/AABDC_Winter_Broadacre_202324.xlsx,"Table 1, Wheat for grain or seed - Levied production (t); row Western Australia; max available year 2022.",ABS official state and territory series; maximum available series value used.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0035,active,,0,,baseline row
W_Cape,"Western Australia
STATE_WESTERN_AUSTRALIA
Vanilla name: STATE_WESTERN_AUSTRALIA",Livestock Ranch,2006,28040241.0,head livestock,"Australian Agriculture: Livestock, 2023-24",https://www.abs.gov.au/statistics/industry/agriculture/australian-agriculture-livestock/2023-24/AALDC_Cattle%20herd%20series_2005%20to%202024.xlsx,"Table 1 cattle herd series plus sheep flock series; Western Australia; cattle max year 2006, sheep max year 2004.",Generic livestock proxy built from cattle plus sheep series because Victoria 3 ranching combines large- and small-stock systems.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0036,active,,0,,baseline row
W_Cape,"O'Higgins Region
STATE_SANTIAGO
Vanilla name: STATE_SANTIAGO",Wheat Farm,1989,230296.0,t output,"Odepa cultivos anuales regionales, 2025 update",https://bibliotecadigital.odepa.gob.cl/bitstream/handle/20.500.12650/74178/CultivosRegional072025.xls,"Sheet 'Serie producción regional'; region O'Higgins Region; column Trigo
Total; maximum annual production in metric tons for season ending 1989.",Official ODEPA regional crop-production series; maximum annual tonnage used.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0037,active,,0,,baseline row
W_Cape,"O'Higgins Region
STATE_SANTIAGO
Vanilla name: STATE_SANTIAGO",Livestock Ranch,2010,171352.0,head livestock,"Odepa existencias bovinos, ovinos y caprinos",https://bibliotecadigital.odepa.gob.cl/bitstreams/fd09efd0-c13b-4652-be10-42ddca3650a8/download,"Bovino/Ovino/Caprino sheets; region O'Higgins Region; cattle, sheep, and goats summed; maximum annual herd total in 2010.","Official ODEPA regional herd counts; bovine, ovine, and caprine heads summed for the ranching proxy.",state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0038,active,,0,,baseline row
W_Cape,"California
STATE_CALIFORNIA
Vanilla name: STATE_CALIFORNIA",Wheat Farm,2024,248042.067,t output,USDA/NASS 2024 State Agriculture Overview for California,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=CALIFORNIA&year=2024,"Commodity summary table; row WHEAT; production cell = 9,114,000 BU.",USDA/NASS State Agriculture Overview commodity summary row.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0039,active,,0,,baseline row
W_Cape,"California
STATE_CALIFORNIA
Vanilla name: STATE_CALIFORNIA",Livestock Ranch,2024,5560000.0,head livestock,USDA/NASS 2024 State Agriculture Overview for California,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=CALIFORNIA&year=2024,Livestock inventory table; summed cattle including calves and sheep including lambs.,"Generic livestock proxy built from USDA/NASS state inventory rows. Cattle, Incl Calves - Inventory = 5,050,000; Sheep, Incl Lambs - Inventory = 510,000",state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0040,active,,0,,baseline row
W_Cape,"California
STATE_CALIFORNIA
Vanilla name: STATE_CALIFORNIA",Vineyard,2024,4880000.0,t output,USDA/NASS 2024 State Agriculture Overview for California,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=CALIFORNIA&year=2024,"Commodity summary table; row GRAPES; production cell = 4,880,000 TONS.",USDA/NASS State Agriculture Overview commodity summary row.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0041,active,,0,,baseline row
W_Cape,"Valparaíso Region
STATE_SANTIAGO
Vanilla name: STATE_SANTIAGO",Wheat Farm,1986,80491.0,t output,"Odepa cultivos anuales regionales, 2025 update",https://bibliotecadigital.odepa.gob.cl/bitstream/handle/20.500.12650/74178/CultivosRegional072025.xls,"Sheet 'Serie producción regional'; region Valparaíso Region; column Trigo
Total; maximum annual production in metric tons for season ending 1986.",Official ODEPA regional crop-production series; maximum annual tonnage used.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0042,active,,0,,baseline row
W_Cape,"Valparaíso Region
STATE_SANTIAGO
Vanilla name: STATE_SANTIAGO",Livestock Ranch,2010,46578.0,head livestock,"Odepa existencias bovinos, ovinos y caprinos",https://bibliotecadigital.odepa.gob.cl/bitstreams/fd09efd0-c13b-4652-be10-42ddca3650a8/download,"Bovino/Ovino/Caprino sheets; region Valparaíso Region; cattle, sheep, and goats summed; maximum annual herd total in 2010.","Official ODEPA regional herd counts; bovine, ovine, and caprine heads summed for the ranching proxy.",state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0043,active,,0,,baseline row
NCape_NW,"Texas
STATE_TEXAS
Vanilla name: STATE_TEXAS",Livestock Ranch,2024,12770000.0,head livestock,USDA/NASS 2024 State Agriculture Overview for Texas,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=TEXAS&year=2024,Livestock inventory table; summed cattle including calves and sheep including lambs.,"Generic livestock proxy built from USDA/NASS state inventory rows. Cattle, Incl Calves - Inventory = 12,100,000; Sheep, Incl Lambs - Inventory = 670,000",regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0044,active,,0,,baseline row
NCape_NW,"Texas
STATE_TEXAS
Vanilla name: STATE_TEXAS",Maize Farm,2024,5376672.0,t output,USDA/NASS 2024 State Agriculture Overview for Texas,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=TEXAS&year=2024,"Commodity summary table; row CORN, GRAIN; production cell = 211,680,000 BU.",USDA/NASS State Agriculture Overview commodity summary row.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0045,active,,0,,baseline row
NCape_NW,"New Mexico
STATE_NEW_MEXICO
Vanilla name: STATE_NEW_MEXICO",Livestock Ranch,2024,1354000.0,head livestock,USDA/NASS 2024 State Agriculture Overview for New Mexico,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=NEW%20MEXICO&year=2024,Livestock inventory table; summed cattle including calves and sheep including lambs.,"Generic livestock proxy built from USDA/NASS state inventory rows. Cattle, Incl Calves - Inventory = 1,280,000; Sheep, Incl Lambs - Inventory = 74,000",regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0046,active,,0,,baseline row
NCape_NW,"New Mexico
STATE_NEW_MEXICO
Vanilla name: STATE_NEW_MEXICO",Maize Farm,2024,195402.19999999998,t output,USDA/NASS 2024 State Agriculture Overview for New Mexico,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=NEW%20MEXICO&year=2024,"Commodity summary table; row CORN, GRAIN; production cell = 7,693,000 BU.",USDA/NASS State Agriculture Overview commodity summary row.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0047,active,,0,,baseline row
NCape_NW,"La Pampa
STATE_LA_PAMPA
Vanilla name: STATE_LA_PAMPA",Livestock Ranch,2002,4037426.0,head livestock,INDEC Censo Nacional Agropecuario 2002,https://sitioanterior.indec.gob.ar/agropecuario/cuadros/c20_tot.xls,"Table c20_tot.xls (bovinos), c22_tot.xls (ovinos), and c23_tot.xls (caprinos); province La Pampa; totals summed.","Generic livestock proxy built from bovine, ovine, and caprine provincial census heads.",regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0048,active,,0,,baseline row
NCape_NW,"La Pampa
STATE_LA_PAMPA
Vanilla name: STATE_LA_PAMPA",Maize Farm,2021,492099.0,t output,MAGyP Estimaciones Agrícolas dataset,https://datosestimaciones.magyp.gob.ar/reportes.php?reporte=Estimaciones,Full dataset download; province La Pampa; crop Maíz; maximum reported production campaign ending 2021.,Official MAGyP crop production dataset by province; maximum annual tonnage used.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0049,active,,0,,baseline row
NCape_NW,"Mendoza Province
STATE_RIO_NEGRO
Vanilla name: STATE_RIO_NEGRO",Livestock Ranch,2002,1145939.0,head livestock,INDEC Censo Nacional Agropecuario 2002,https://sitioanterior.indec.gob.ar/agropecuario/cuadros/c20_tot.xls,"Table c20_tot.xls (bovinos), c22_tot.xls (ovinos), and c23_tot.xls (caprinos); province Mendoza; totals summed.","Generic livestock proxy built from bovine, ovine, and caprine provincial census heads.",regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0050,active,,0,,baseline row
NCape_NW,"Mendoza Province
STATE_RIO_NEGRO
Vanilla name: STATE_RIO_NEGRO",Maize Farm,1989,5200.0,t output,MAGyP Estimaciones Agrícolas dataset,https://datosestimaciones.magyp.gob.ar/reportes.php?reporte=Estimaciones,Full dataset download; province Mendoza Province; crop Maíz; maximum reported production campaign ending 1989.,Official MAGyP crop production dataset by province; maximum annual tonnage used.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0051,active,,0,,baseline row
