state,state_id,resource,resource_family,vanilla_proxy_state,vanilla_proxy_id,vanilla_cap,current_live_cap,observed_output_x,output_addition_y,plausibility_haircut_z,adjusted_output,denominator_units_per_cap,denominator_status,base_cap,adjusted_cap,minimum_operating_floor_cap,documented_working_floor_eligible,final_audited_cap,status,exception_status,adjustment_key,problem_type,adjustment_reason,earliest_commercial_activity_year,flagship_scale_year,representative_max_year,representative_max_output,year_selection_reason,gdp_geography_used,gdp_geography_level,gdp_anchor_year,gdp_value_at_anchor_year,selected_resource_year,selection_mode,gdp_distance_ratio,gdp_comparability_status,target_estimation_method,interpolation_used,comparator_included_in_denominator,comparator_basket_coverage_share,selection_note,counterevidence_status,counterevidence_note,plausibility_1936_status,observed_output_x_reason,y_basis,y_reason,y_counterevidence_trigger,y_quantification_method,z_reason,audit_class,proxy_kind,proxy_native_unit,proxy_to_slot_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,calculation_note
Cape Colony,STATE_CAPE_COLONY,Gold Fields (undiscovered),Gold Fields,Cape Colony,STATE_CAPE_COLONY,0,0,,0.0,0.0,,4.638038205553189,formula-driven,,,,no,0,explicit exception,manual_zero_exception,cape-colony::gold-fields-undiscovered,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
Cape Colony,STATE_CAPE_COLONY,Oil (discovered),Oil,Cape Colony,STATE_CAPE_COLONY,0,0,,0.0,0.0,,,denominator_unavailable,,,,no,0,explicit exception,manual_zero_exception,cape-colony::oil-discovered,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Cape Colony,STATE_CAPE_COLONY,Oil (undiscovered),Oil,Cape Colony,STATE_CAPE_COLONY,0,0,,0.0,0.0,,,denominator_unavailable,,,,no,0,explicit exception,manual_zero_exception,cape-colony::oil-undiscovered,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Cape Colony,STATE_CAPE_COLONY,Rubber (discovered),Rubber,Cape Colony,STATE_CAPE_COLONY,0,0,,0.0,0.0,,10000.0,formula-driven,,,,no,0,explicit exception,manual_zero_exception,cape-colony::rubber-discovered,counterfactual checked and rejected,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
Cape Colony,STATE_CAPE_COLONY,Rubber (undiscovered),Rubber,Cape Colony,STATE_CAPE_COLONY,0,0,0.0,0.0,0.0,,10000.0,formula-driven,0.0,,,no,0,explicit exception,manual_zero_exception,cape-colony::rubber-undiscovered,counterfactual checked and rejected,Latent-rubber model keeps this row as an explicit zero exception because the audited state footprint does not support a bounded plantation slot.,,,1936,0.0,Representative year is audited metadata only for the latent-rubber land-capacity model; rubber no longer uses GDP-selected output rows here.,,,,,,,,,,,20,,Rubber (undiscovered) is audited from direct effective commercial plantation hectares rather than GDP-selected latex output.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,Rubber (undiscovered) now uses direct effective commercial plantation hectares from audited rubber land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Rubber (undiscovered) row in the proposal registry.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",Explicit zero retained under the latent-rubber model because the audited state footprint does not support a bounded plantation slot.
Northern Cape,STATE_NORTHERN_CAPE,Arable Land,Arable Land,Northern Cape,STATE_NORTHERN_CAPE,40,11,651375.0,0.0,0.0,651375.0,55714.28571428572,formula-driven,11.691346153846153,11.691346153846153,,no,12,formula-driven,,,,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired.,,,1936,,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,,,,,,,,,,,8,,Arable land is audited from direct effective commercial agricultural hectares rather than GDP-selected crop output.,supports,Land-capacity model replaces the old output-gap reconstruction for arable rows.,pass,Observed x is direct effective commercial agricultural hectares from audited land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,,,,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Northern Cape section; dry pastoral farming with limited maize/millet/cotton pockets.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Northern Cape comparator basket and weighted agricultural matches.,Arable now uses direct land-capacity x with no legacy output-gap Y or GDP/output smoothing.
Northern Cape,STATE_NORTHERN_CAPE,Coal Mine,Coal Mine,Northern Cape,STATE_NORTHERN_CAPE,0,0,,0.0,0.0,0.0,468047.3434204712,formula-driven,,0.0,,no,0,constrained zero,,northern-cape::coal-mine,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
Northern Cape,STATE_NORTHERN_CAPE,Fishing,Fishing,Northern Cape,STATE_NORTHERN_CAPE,0,0,,0.0,0.0,,5950.541160752551,formula-driven,,,,no,0,explicit exception,manual_zero_exception,northern-cape::fishing,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
Northern Cape,STATE_NORTHERN_CAPE,Gold Mine,Gold Mine,Northern Cape,STATE_NORTHERN_CAPE,0,0,,0.0,0.0,,4.638038205553189,formula-driven,,,,no,0,explicit exception,manual_zero_exception,northern-cape::gold-mine,counterfactual checked and rejected,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.
Northern Cape,STATE_NORTHERN_CAPE,Iron Mine,Iron Mine,Northern Cape,STATE_NORTHERN_CAPE,33,6,4338058.9783776915,0.0,3036641.284864384,1301417.6935133073,63712.72421147216,formula-driven,68.08779615166067,20.426338845498197,,no,21,quantified adjustment,,northern-cape::iron-mine,proxy moderation,"Kept the bounded Northern Cape iron row after rechecking Maremane Dome's 1931 production start against Sishen's 1953 opening; later Northern Cape dominance remains bounded counterfactual support, not direct 1936 scale.",1931,1953,2010,41300000.0,"Representative benchmark keeps the 2010 Northern Cape iron scale in view, but the public cap is bounded by 1931 Maremane Dome production and the post-1953 timing of Sishen; the acceptance-pass recheck kept the same representative year and chronology logic.",South Africa,national,2008,10977.146797,2010,gdp_match,0.035743461658125884,,,no,,,Selected candidate year 2010 because its GDP per capita is closest to the GBR 1940 reference anchor.,supports,"The Northern Cape iron belt is real by 1931, but the flagship Sishen operation opens only in 1953, so modern basin-scale tonnage stays a bounded proxy rather than the direct cap driver.",pass,"Observed x still comes from the discounted 2010 Northern Cape iron benchmark, but that benchmark is only a bounded proxy because the flagship Sishen operation post-dates 1936; the acceptance pass kept the row inside the shared 1940-equivalent Iron Mine frame rather than reverting to a closest-to-1936 rule.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,Universal quantity-resource Z still moderates the bounded Northern Cape iron proxy from earliest commercial activity in 1931 to the 2010 representative benchmark year after the acceptance-pass recheck.,proxy,bounded iron-belt proxy,t output,Modern Sishen tonnage remains only a bounded provincial proxy for a smaller Northern Cape iron row because the flagship mine opened after 1953 and the acceptance pass rechecked that chronology externally.,"IGC35 Abstracts: Paleoproterozoic banded iron formation-hosted high-grade hematite iron ore deposits of the Transvaal Supergroup, South Africa",https://information.americangeosciences.org/open-collections/igc/1916/,Paper 1916 abstract: first production of high-grade banded iron formation-hosted ore commenced in 1931 from the Maremane Dome and Thabazimbi.,Integrated Report 2024,https://www.angloamericankumba.com/~/media/Files/A/Anglo-American-Group-v9/Kumba/investors/annual-reporting/kumba-integrated-report-2024.pdf,About Sishen: the mine has been in operation since 1953 in the Northern Cape province.,Acceptance-pass recheck kept the same universal chronology Z result because the external chronology still supports a bounded Northern Cape iron row rather than a dominant pre-1936 basin-scale cap.
Northern Cape,STATE_NORTHERN_CAPE,Lead Mine,Lead Mine,Northern Cape,STATE_NORTHERN_CAPE,0,11,30.89737076192442,10648.398009,0.0,10679.295379761925,1424.3862580391383,formula-driven,0.021691707981273886,7.497471503595822,,no,8,quantified adjustment,,northern-cape::lead-mine,proxy moderation,"Moderated the proxy uplift downward: Little Namaqualand clearly supports a western base-metal row, but the larger 15-cap audit result was too aggressive for the public evidence.",,,,,,South Africa,national,2008,10977.146797,1904,gdp_match,0.7647327964860908,,,no,,,Selected candidate year 1904 because its GDP per capita is closest to the GBR 1940 reference anchor.,,,pass,,proxy_target_gap,"Copper tonnage captures only one stream in the Little Namaqualand base-metal district, so the lead-slot abstraction keeps only a moderate upward proxy allowance.","The western base-metal belt is real, but the larger 15-cap uplift is not tightly reproduced by the public evidence.",Moderated proxy uplift sized to keep a moderate western base-metal row above the copper-only floor.,No downward plausibility haircut.,proxy,copper output proxy,t output,Public target quantity is copper-tonnage evidence mapped into the lead slot as a base-metal abstraction.,"The Mineral Industry, 1904",https://upload.wikimedia.org/wikipedia/commons/3/3c/The_Mineral_industry_%28IA_gri_33125014727172%29.pdf,"South Africa section: the mines in Little Namaqualand ""yield about 7,000 tons of copper per year.""",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Copper mining at Okiep/Namaqualand boomed in the nineteenth century but remained modest compared with the Witwatersrand.,Proxy uplift moderated so the final row stays in the publicly supported range without deleting the western base-metal slot.
Northern Cape,STATE_NORTHERN_CAPE,Sulfur Mine,Sulfur Mine,Northern Cape,STATE_NORTHERN_CAPE,0,0,,0.0,0.0,,724.5356827022321,formula-driven,,,,no,0,explicit exception,manual_zero_exception,northern-cape::sulfur-mine,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
Northern Cape,STATE_NORTHERN_CAPE,Whaling,Whaling,Northern Cape,STATE_NORTHERN_CAPE,0,0,,0.0,0.0,,,denominator_unavailable,,,,no,0,explicit exception,manual_zero_exception,northern-cape::whaling,counterfactual checked and rejected,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.
Northern Cape,STATE_NORTHERN_CAPE,Wood,Wood,Northern Cape,STATE_NORTHERN_CAPE,2,0,0.0,0.0,0.0,,33257.48168598174,formula-driven,0.0,,,no,0,explicit exception,manual_zero_exception,northern-cape::wood,,Potential-forestry model keeps this row as an explicit zero exception; wooded land alone does not count as commercial forestry.,,,1936,0.0,Representative year is audited metadata only for the forestry-capacity model; wood no longer uses GDP-selected plantation-estate rows.,,,,,,,,,,,20,,Wood is audited from direct effective commercial forestry hectares rather than GDP-selected plantation-estate observations.,,,,Wood now uses direct effective commercial forestry hectares from audited wood land-class rows rather than observed plantation-estate area.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Timber was scarce in the arid parts of the colony; exploitable forests sat in the southern coastal mountains rather than the dry interior.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Northern Cape and adjacent dry belts are arid-to-semi-arid systems where irrigation and grazing matter far more than forestry.,Explicit zero retained under the potential-forestry model because the audited footprint lacks a defensible commercial forestry belt.
Northern Cape,STATE_NORTHERN_CAPE,Gold Fields (discovered),Gold Fields,Northern Cape,STATE_NORTHERN_CAPE,1,0,,0.0,0.0,,4.638038205553189,formula-driven,,,,no,0,explicit exception,manual_zero_exception,northern-cape::gold-fields-discovered,chronology,Removed the start-date discovered gold-field row because Northern Cape diamond history starts with the 1867-1871 Kimberley rush rather than an already discovered 1836 minefield.,,,1936,,"The discovered slot is audited against the 1836 start date, and Kimberley's diamond sequence begins only after the 1867 Orange/Vaal discoveries and the 1870-1871 Kimberley rush.",South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Kimberley belongs in the undiscovered late-rush slot, not in the 1836 discovered slot.",pass,No direct target observation is frozen for the start-date discovered slot; Kimberley's historical evidence is chronological rather than an 1836 output anchor.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,"South Africa - Diamonds, Gold, Imperialism | Britannica",https://www.britannica.com/place/South-Africa/Diamonds-gold-and-imperialist-intervention-1870-1902,"A chance find in 1867 drew fortune seekers to the river diggings, and the diamond rush to Kimberley began in 1870.",First recorded discovery of diamonds in the colonial period of South Africa | South African History Online,https://sahistory.org.za/dated-event/first-recorded-discovery-diamonds-colonial-period-south-africa,13 October 1867 marks the first recorded diamond discovery; by 1871 more diamonds were found near present-day Kimberley.,Explicit zero retained for the discovered slot because Kimberley's major diamond field is a late discovery and is already carried by the undiscovered row.
