comparator_geography,benchmark_state_id,representative_year,land_class,raw_area_ha,effective_weight,effective_area_ha,benchmark_vanilla_rubber_cap,year_selection_reason,capacity_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator
Gabon,STATE_GABON,1936,high_suitability_plantation,217500.0,1.0,217500.0,29.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_GABON latent rubber cap = 29 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Gabon,STATE_GABON,1936,moderate_suitability_plantation,108750.0,0.6,65250.0,29.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_GABON latent rubber cap = 29 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Gabon,STATE_GABON,1936,marginal_suitability_plantation,36250.0,0.2,7250.0,29.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_GABON latent rubber cap = 29 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Gabon,STATE_GABON,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,29.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_GABON latent rubber cap = 29 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo,STATE_CONGO,1936,high_suitability_plantation,487500.0,1.0,487500.0,65.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO latent rubber cap = 65 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo,STATE_CONGO,1936,moderate_suitability_plantation,243750.0,0.6,146250.0,65.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO latent rubber cap = 65 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo,STATE_CONGO,1936,marginal_suitability_plantation,81250.0,0.2,16250.0,65.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO latent rubber cap = 65 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo,STATE_CONGO,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,65.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO latent rubber cap = 65 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo Orientale,STATE_CONGO_ORIENTALE,1936,high_suitability_plantation,390000.0,1.0,390000.0,52.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO_ORIENTALE latent rubber cap = 52 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo Orientale,STATE_CONGO_ORIENTALE,1936,moderate_suitability_plantation,195000.0,0.6,117000.0,52.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO_ORIENTALE latent rubber cap = 52 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo Orientale,STATE_CONGO_ORIENTALE,1936,marginal_suitability_plantation,65000.0,0.2,13000.0,52.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO_ORIENTALE latent rubber cap = 52 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Congo Orientale,STATE_CONGO_ORIENTALE,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,52.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_CONGO_ORIENTALE latent rubber cap = 52 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Equateur,STATE_EQUATEUR,1936,high_suitability_plantation,225000.0,1.0,225000.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_EQUATEUR latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Equateur,STATE_EQUATEUR,1936,moderate_suitability_plantation,112500.0,0.6,67500.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_EQUATEUR latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Equateur,STATE_EQUATEUR,1936,marginal_suitability_plantation,37500.0,0.2,7500.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_EQUATEUR latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Equateur,STATE_EQUATEUR,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_EQUATEUR latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
North Angola,STATE_NORTH_ANGOLA,1936,high_suitability_plantation,129411.76470588235,1.0,129411.76470588235,22.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_NORTH_ANGOLA latent rubber cap = 22 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
North Angola,STATE_NORTH_ANGOLA,1936,moderate_suitability_plantation,129411.76470588235,0.6,77647.05882352941,22.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_NORTH_ANGOLA latent rubber cap = 22 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
North Angola,STATE_NORTH_ANGOLA,1936,marginal_suitability_plantation,64705.882352941175,0.2,12941.176470588236,22.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_NORTH_ANGOLA latent rubber cap = 22 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
